step,loss
1000,0.2894862890
2000,0.2294951081
1000,0.2791200876
2000,0.2039362192
3000,0.1641716212
4000,0.1262765229
5000,0.1681296378
6000,0.1623155773
7000,0.1566666067
8000,0.2030476630
9000,0.1653748304
10000,0.2078382969
11000,0.1080513895
12000,0.1672158688
13000,0.1319965720
14000,0.1390834153
15000,0.1350153089
16000,0.1603515446
1000,0.2136717141
2000,0.2369562835
3000,0.2159319371
4000,0.1460401267
5000,0.1512024403
6000,0.1827309579
7000,0.1184469685
8000,0.1504493207
9000,0.1551560760
10000,0.1486774534
11000,0.1658275723
12000,0.1487154663
13000,0.0990487337
14000,0.1490120441
15000,0.1152101457
16000,0.1579915136
1000,0.2179089189
2000,0.2375211716
3000,0.2123245299
4000,0.1471372843
5000,0.1492499560
6000,0.1814189553
7000,0.1162283644
8000,0.1517200768
9000,0.1578963697
10000,0.1490081847
11000,0.1697829962
12000,0.1484323144
13000,0.0989096239
14000,0.1493876278
15000,0.1137335598
16000,0.1590231061
17000,0.0888785049
18000,0.1239769682
19000,0.0809570029
20000,0.1065013558
17000,0.0810718611
18000,0.1213796288
19000,0.1043997258
20000,0.1464197785
17000,0.0785694048
18000,0.1209331229
19000,0.1044441909
20000,0.1453205347
1000,0.2807294726
2000,0.2024533451
3000,0.1657124758
4000,0.1257696003
5000,0.1705948710
6000,0.1776932627
1000,0.1931154430
2000,0.1841866374
3000,0.1269410700
4000,0.1269317120
5000,0.1406544596
6000,0.1132888943
7000,0.0980378091
8000,0.0849636570
9000,0.1220393926
10000,0.1005994380
11000,0.1061623245
12000,0.1343636811
13000,0.0937312469
14000,0.0895134211
15000,0.1001182646
16000,0.0989169925
17000,0.0754702389
18000,0.0731331557
19000,0.0739937872
20000,0.0786219537
21000,0.0920671672
22000,0.0892051682
23000,0.0830964372
24000,0.0667914972
25000,0.0660060048
26000,0.0880033523
27000,0.0748807266
28000,0.0699996129
29000,0.0891993493
30000,0.0840975866
31000,0.0687287152
32000,0.0607730076
33000,0.0863488317
34000,0.0641870424
35000,0.0704700649
36000,0.0657591969
37000,0.0717527121
38000,0.0581767820
39000,0.0531698503
40000,0.0611751787
41000,0.0811705887
42000,0.0807013959
43000,0.0673089176
44000,0.0625439286
45000,0.0639536083
46000,0.0597666837
47000,0.0819209442
48000,0.0587168261
49000,0.0662792027
50000,0.0742021352
51000,0.0528783984
52000,0.0658680350
53000,0.0909195989
54000,0.0507573634
55000,0.0681847036
56000,0.0600856543
57000,0.0699718148
58000,0.0715174973
59000,0.0607580356
60000,0.0538552478
61000,0.0525869578
62000,0.0517247878
63000,0.0588346198
64000,0.0462823436
65000,0.0725166202
66000,0.0490593463
67000,0.0626746640
68000,0.0561166555
69000,0.0667468458
70000,0.0564373471
71000,0.0806837529
72000,0.0448066629
73000,0.0581634045
74000,0.0646018460
75000,0.0497851819
76000,0.0762468427
77000,0.0725246966
78000,0.0469631627
79000,0.0453823432
80000,0.0703120977
81000,0.0612498149
82000,0.0479476079
83000,0.0446458608
84000,0.0512404218
85000,0.0523105673
86000,0.0632651746
87000,0.0662613958
88000,0.0453967042
89000,0.0472286232
90000,0.0511087142
91000,0.0597321466
92000,0.0421341732
93000,0.0482819006
94000,0.0821436942
95000,0.0462659150
96000,0.0555757955
97000,0.0520330928
98000,0.0422212854
99000,0.0579082407
100000,0.0452560484
101000,0.0549022332
102000,0.0592481345
103000,0.0579005741
104000,0.0512729138
105000,0.0640966073
106000,0.0491756164
107000,0.0583907925
108000,0.0473269522
109000,0.0454817936
110000,0.0573861152
111000,0.0464092568
112000,0.0466098487
113000,0.0461936817
114000,0.0457552820
115000,0.0447462127
116000,0.0404267199
117000,0.0338165686
118000,0.0491536856
119000,0.0606626086
120000,0.0511097163
121000,0.0365204588
122000,0.0475267544
123000,0.0406569056
124000,0.0387491062
125000,0.0732613206
126000,0.0318894610
127000,0.0627321526
128000,0.0391255096
129000,0.0591469966
130000,0.0383384824
131000,0.0685256124
132000,0.0372589491
133000,0.0479715243
134000,0.0509083979
135000,0.0527010113
136000,0.0466561019
137000,0.0463335887
138000,0.0424060822
139000,0.0407770351
140000,0.0452821329
141000,0.0449715033
142000,0.0347392522
143000,0.0370880663
144000,0.0531257354
145000,0.0449171588
146000,0.0469939969
147000,0.0475132465
148000,0.0627280027
149000,0.0607356802
150000,0.0392029062
151000,0.0305500217
152000,0.0438387394
153000,0.0426749811
154000,0.0399540961
155000,0.0534120537
156000,0.0401739553
157000,0.0469972380
158000,0.0455073714
159000,0.0496412069
160000,0.0704970807
161000,0.0327862650
162000,0.0358430296
163000,0.0361438245
164000,0.0407593176
165000,0.0713464171
166000,0.0371436514
167000,0.0511222482
168000,0.0372170880
169000,0.0528870001
170000,0.0479421541
171000,0.0347632580
172000,0.0603739023
173000,0.0329971910
174000,0.0378587693
175000,0.0522583090
176000,0.0394277535
177000,0.0420756266
178000,0.0344134942
179000,0.0594241545
180000,0.0512772575
181000,0.0522765294
182000,0.0364241637
183000,0.0472182222
184000,0.0417486876
185000,0.0450833552
186000,0.0472010523
187000,0.0493864566
188000,0.0429023132
189000,0.0367617048
190000,0.0509683006
191000,0.0377896577
192000,0.0370370671
193000,0.0386962146
194000,0.0363709629
195000,0.0422539562
196000,0.0305824094
197000,0.0291614607
198000,0.0345998816
199000,0.0350806415
200000,0.0334882513
