step,loss
1000,0.2894862890
2000,0.2294951081
1000,0.2791200876
2000,0.2039362192
3000,0.1641716212
4000,0.1262765229
5000,0.1681296378
6000,0.1623155773
7000,0.1566666067
8000,0.2030476630
9000,0.1653748304
10000,0.2078382969
11000,0.1080513895
12000,0.1672158688
13000,0.1319965720
14000,0.1390834153
15000,0.1350153089
16000,0.1603515446
1000,0.2136717141
2000,0.2369562835
3000,0.2159319371
4000,0.1460401267
5000,0.1512024403
6000,0.1827309579
7000,0.1184469685
8000,0.1504493207
9000,0.1551560760
10000,0.1486774534
11000,0.1658275723
12000,0.1487154663
13000,0.0990487337
14000,0.1490120441
15000,0.1152101457
16000,0.1579915136
1000,0.2179089189
2000,0.2375211716
3000,0.2123245299
4000,0.1471372843
5000,0.1492499560
6000,0.1814189553
7000,0.1162283644
8000,0.1517200768
9000,0.1578963697
10000,0.1490081847
11000,0.1697829962
12000,0.1484323144
13000,0.0989096239
14000,0.1493876278
15000,0.1137335598
16000,0.1590231061
17000,0.0888785049
18000,0.1239769682
19000,0.0809570029
20000,0.1065013558
17000,0.0810718611
18000,0.1213796288
19000,0.1043997258
20000,0.1464197785
17000,0.0785694048
18000,0.1209331229
19000,0.1044441909
20000,0.1453205347
1000,0.2807294726
2000,0.2024533451
3000,0.1657124758
4000,0.1257696003
5000,0.1705948710
6000,0.1776932627
