step,summary_gate,residual_gate
1000,0.0502638929,0.0511348993
2000,0.0671472102,0.0539364256
1000,0.0502230264,0.0514013320
2000,0.0669311732,0.0547225364
3000,0.0836651027,0.0584255569
4000,0.1003631949,0.0687761307
5000,0.1166795865,0.0788329169
6000,0.1328057945,0.0884564072
7000,0.1488732696,0.0974000841
8000,0.1643745452,0.1058107838
9000,0.1811525375,0.1133524925
10000,0.1975608617,0.1204558089
11000,0.1967495233,0.1271693707
12000,0.1967495233,0.1333407909
13000,0.1967495233,0.1393302083
14000,0.1967495233,0.1449317932
15000,0.1967495233,0.1502326578
16000,0.1967494190,0.1490697861
1000,0.0501043387,0.0512579307
2000,0.0673844591,0.0543168895
3000,0.0840599462,0.0579809844
4000,0.1007619128,0.0683496818
5000,0.1172839552,0.0784544796
6000,0.1332733333,0.0880164430
7000,0.1493907273,0.0970157161
8000,0.1659627408,0.1053673029
9000,0.1825013012,0.1129405946
10000,0.1990917474,0.1199460179
11000,0.1990849525,0.1265241951
12000,0.1990849525,0.1327679902
13000,0.1990849525,0.1385278702
14000,0.1990847290,0.1440443695
15000,0.1990683973,0.1493279636
16000,0.1990660876,0.1481909156
1000,0.0500743911,0.0513201468
2000,0.0675572529,0.0544024408
3000,0.0843309537,0.0580952577
4000,0.1009582952,0.0685245693
5000,0.1174035594,0.0786760971
6000,0.1338699460,0.0882767290
7000,0.1513874680,0.0973231643
8000,0.1676510721,0.1057636365
9000,0.1850479841,0.1133184657
10000,0.2021895498,0.1203490272
11000,0.2020134032,0.1269643605
12000,0.2020884305,0.1331248432
13000,0.2019154429,0.1389838159
14000,0.2016872466,0.1444632411
15000,0.2017303556,0.1496856362
16000,0.2016954273,0.1485454887
17000,0.1967494190,0.1485639662
18000,0.1967494190,0.1488414109
19000,0.1967494190,0.1490367949
20000,0.1967494190,0.1491069496
17000,0.1990816295,0.1476833224
18000,0.1990887225,0.1480212957
19000,0.1991055310,0.1482203752
20000,0.1992325932,0.1482940316
17000,0.2016184479,0.1480520666
18000,0.2016097158,0.1484223604
19000,0.2016553581,0.1486417800
20000,0.2016737610,0.1487254351
1000,0.0502141938,0.0513953082
2000,0.0669422448,0.0546732247
3000,0.0834135860,0.0583743565
4000,0.0998021886,0.0687222853
5000,0.1158242300,0.0787630230
6000,0.1317824274,0.0883652270
